id,content,start,end,group,style
1,GNU Projekt,1984,,1,Background-color: #aaEEaa; border-color: black
2,Free Software Foundation (FSF),1985,,1,Background-color: #aaEEaa; border-color: black
3,GNU General Public License (GPL),1989,,1,Background-color: #aaEEaa; border-color: black
4,Open Geospatial Consortiums (OGC),1994,,2,
5,ISO TC 211,1994,,2,
6,WMO Resolution 40,1996,,2,
7,Creative Commons (CC),2001,,3,Background-color: #EEEEaa; border-color: black
8,Linux-Klausel im <br/>deutschen Urheberrecht,2002,,1,Background-color: #aaEEaa; border-color: black
9,3 weitere „Linux-Klauseln“,2008,,1,Background-color: #aaEEaa; border-color: black
10,Open Knowledge Foundation,2004-05-20,,3,Background-color: #EEEEaa; border-color: black
11,OpenStreetMap,2004,,2,
12,BGÖ Schweiz,2004-12-17,,3,Background-color: #EEEEaa; border-color: black
13,OSGeo Foundation,2006-02-04,,2,
14,Sunlight Foundation,2006-04-26,,3,Background-color: #EEEEaa; border-color: black
15,Open Definition V 1.0,2006-07,,3,Background-color: #EEEEaa; border-color: black
16,"Open Public Data Konferenz</br> in Sebastopol, USA",2007-12,,3,Background-color: #EEEEaa; border-color: black
17,Open Data Commons <br/> PDDL Lizenz,2007-12,,3,Background-color: #EEEEaa; border-color: black
18,USA: Memorandum of Transparency and Open Government,2009-01,,3,Background-color: #EEEEaa; border-color: black
19,USA: data.gov,2009-05,,3,Background-color: #EEEEaa; border-color: black
20,10 Prinzipien für OpenGovData <br/>(Sunglight Foundation),2010,,3,Background-color: #EEEEaa; border-color: black
21,"Open Knowledge Foundation<br/>Deutschland e.V., offenedaten.de",2010-05-06,,3,Background-color: #EEEEaa; border-color: black
22,Gründung OpenData.ch und<br/>Open Knowledge Forum Österreich,2012,,3,Background-color: #EEEEaa; border-color: black
23,G8 Open Data Charter ,2013-06-18,,3,Background-color: #EEEEaa; border-color: black
24,Deutschland: Aktionsplan zur <br/>Umsetzung der Open-Data-Charta der G8,2014,,3,Background-color: #EEEEaa; border-color: black
